SKILLS AUDIT REPORT
================================================================================

Total Skills : 654
KEEP         : 38
DELETE       : 608
REVIEW       : 8

KEEP
--------------------------------------------------------------------------------
[701] Agile | profile_usage=2 | offer_usage=0
[619] FastAPI_8175b8d1-85df-452b-95dc-b606bdfe5170 | profile_usage=0 | offer_usage=0
[723] FastAPI_88a36e13-f508-47e9-8f18-893629f7b9c5 | profile_usage=0 | offer_usage=0
[530] FastAPI_89ebd6c0-662f-4ca1-b75e-7c1e7dd90c4c | profile_usage=0 | offer_usage=0
[89] FastAPI_8ec87229-386f-4059-8b1c-12b50cfabe84 | profile_usage=0 | offer_usage=0
[29] FastAPI_91cc2b63-ef33-4e21-b21a-9693e9543ac9 | profile_usage=0 | offer_usage=0
[22] FastApi_92b8398d-31e9-4275-98e0-379db83f3f79 | profile_usage=0 | offer_usage=0
[513] FastAPI_94ab55b5-ffae-447c-bb44-7f1a92a86680 | profile_usage=0 | offer_usage=0
[194] FastAPI_a1cb7e52-1fc9-4ebe-a71c-607d4696fd90 | profile_usage=0 | offer_usage=0
[71] FastAPI_a6fa880f-ed04-4e02-85d5-94432a7f935e | profile_usage=0 | offer_usage=0
[823] FastAPI_ad1d6934-0146-4c9f-b0e9-1bca87dfe888 | profile_usage=0 | offer_usage=0
[125] FastAPI_b1572814-d85d-4281-a131-828a7facc666 | profile_usage=0 | offer_usage=0
[906] FastAPI_cddbbb06-b0a4-4769-9259-23b4796616e9 | profile_usage=0 | offer_usage=0
[650] FastAPI_ce31a2d9-66a9-49f6-b661-621b3b4e0fca | profile_usage=0 | offer_usage=0
[177] FastAPI_d4342068-9fb5-4ae8-9ae2-eb8f0c79f7df | profile_usage=0 | offer_usage=0
[783] FastAPI_df5c01b0-bb6e-43ca-b5d0-2cd8ccf0c79a | profile_usage=0 | offer_usage=0
[20] FastApi_e650a798-62bf-4563-bab3-ca21e08705ea | profile_usage=0 | offer_usage=0
[926] FastAPI_ef2b9838-b541-43df-89a3-7b1cc3b5cb1d | profile_usage=0 | offer_usage=0
[116] FastAPI_ef8766ab-7f4c-48e1-9e23-d1bbf3d35980 | profile_usage=0 | offer_usage=0
[479] FastAPI_fabb0120-ce41-40bc-9e82-01050fcc8160 | profile_usage=0 | offer_usage=0
[493] Kubernetes_009646af-04e7-45b3-bd8f-124b2dc0b9d4 | profile_usage=0 | offer_usage=0
[77] Kubernetes_02885e5b-96f8-481a-9a30-2dc1d892507e | profile_usage=0 | offer_usage=0
[157] Kubernetes_07991364-6d82-41e4-b7e1-026bb0db7f36 | profile_usage=0 | offer_usage=0
[903] Kubernetes_17521b17-75dc-4144-9c08-02bbad618766 | profile_usage=0 | offer_usage=0
[122] Kubernetes_1c40f0fa-83c1-4ec3-80de-bd63985e3984 | profile_usage=0 | offer_usage=0
[95] Kubernetes_236af846-6c7a-45d6-a8f8-8c67d718b62d | profile_usage=0 | offer_usage=0
[923] Kubernetes_29148ad9-e281-4e79-a32d-fb513be0b639 | profile_usage=0 | offer_usage=0
[527] Kubernetes_2938b2ec-6798-4e6b-8262-6900c6f822ac | profile_usage=0 | offer_usage=0
[820] Kubernetes_2bde721d-1025-49fd-acf2-1f35b95b2c34 | profile_usage=0 | offer_usage=0
[720] Kubernetes_34c27e53-b80f-4904-9c61-a78ce2b3ae9b | profile_usage=0 | offer_usage=0
[740] Kubernetes_3772c022-5840-486e-9613-9a44b0b9fcc7 | profile_usage=0 | offer_usage=0
[140] Kubernetes_3bdc21c0-8ba3-49ce-8a9d-26ee18551c8b | profile_usage=0 | offer_usage=0
[780] Kubernetes_3d0b8e63-1c62-4bfb-abd6-00540db9b3a3 | profile_usage=0 | offer_usage=0
[113] Kubernetes_41061049-190a-4891-882c-53d94281e595 | profile_usage=0 | offer_usage=0
[840] Kubernetes_65af1f13-416c-41e9-bf53-57c768dbf60f | profile_usage=0 | offer_usage=0
[131] Kubernetes_67518e0d-51a8-4f4a-9d2f-14a079de4136 | profile_usage=0 | offer_usage=0
[668] Kubernetes_6c78dc39-fe38-4073-a99f-d95992e40241 | profile_usage=0 | offer_usage=0
[191] Kubernetes_7680a5e5-9436-4ac4-b6ae-621bd73131ca | profile_usage=0 | offer_usage=0
[647] Kubernetes_7b2b10c9-2d9b-4ae0-a43b-d416a51bf9ee | profile_usage=0 | offer_usage=0
[41] Kubernetes_7f51ffcf-ebe0-4720-b585-dd6a3f575224 | profile_usage=0 | offer_usage=0
[883] Kubernetes_7fe98f2a-fbe5-4e56-a337-220d00dc642f | profile_usage=0 | offer_usage=0
[476] Kubernetes_850368aa-c003-4ed4-ad32-b3cdaebc73c1 | profile_usage=0 | offer_usage=0
[616] Kubernetes_8d9386d6-abcd-49c5-883a-54871d888f48 | profile_usage=0 | offer_usage=0
[510] Kubernetes_8eb75b10-3863-4a89-b89c-7379f9d014fe | profile_usage=0 | offer_usage=0
[562] Kubernetes_90143557-2083-4e21-a8c8-6052c5dfd4bf | profile_usage=0 | offer_usage=0
[544] Kubernetes_9f15350e-75b6-491b-8da7-6d1ce2e66e00 | profile_usage=0 | offer_usage=0
[50] Kubernetes_9f4cfdf3-5cd2-4f36-acc3-e3ccb860a392 | profile_usage=0 | offer_usage=0
[104] Kubernetes_a3bdcf8e-f28e-4172-951b-c843832823aa | profile_usage=0 | offer_usage=0
[174] Kubernetes_a6eaee0e-39dd-41f8-b22d-7050761ec1a7 | profile_usage=0 | offer_usage=0
[59] Kubernetes_ac6c10d3-44ae-480f-95c4-80554da9e916 | profile_usage=0 | offer_usage=0
[17] Kubernetes_bf30f055-b248-4e4f-b068-08ed2a5297d0 | profile_usage=0 | offer_usage=0
[26] Kubernetes_bfd3d269-a81d-4557-8503-fc9e562b6126 | profile_usage=0 | offer_usage=0
[68] Kubernetes_c0a897d4-9b31-4be6-9572-e15d922a2f97 | profile_usage=0 | offer_usage=0
[580] Kubernetes_cacaf9cf-bfdc-47c5-8b24-29ffda47fc42 | profile_usage=0 | offer_usage=0
[800] Kubernetes_ccae7c21-ceb8-4c06-900a-e95b5ee650d9 | profile_usage=0 | offer_usage=0
[598] Kubernetes_d5e5f700-cc4e-4e85-8885-49831997f109 | profile_usage=0 | offer_usage=0
[86] Kubernetes_f15189b9-18a1-4e50-ad38-5f4582b23b63 | profile_usage=0 | offer_usage=0
[863] Kubernetes_f8fdad78-afd8-437c-bf98-b64dd7cf006a | profile_usage=0 | offer_usage=0
[760] Kubernetes_f9ce4d53-6f4d-4cf8-a300-1bb792289060 | profile_usage=0 | offer_usage=0
[14] Kubernetes_Test_001 | profile_usage=0 | offer_usage=0
[523] Skill_004e1ffa-8e15-4674-b7aa-01bf39458ac9 | profile_usage=0 | offer_usage=0
[829] Skill_00567833-5f3f-4f62-843c-a35d8eb511dc | profile_usage=0 | offer_usage=0
[463] Skill_0118e6e5-90c5-4065-a51c-6f5110616eeb | profile_usage=0 | offer_usage=0
[129] Skill_0212e886-d3a9-4d3b-9cc3-67d9669399ce | profile_usage=0 | offer_usage=0
[487] Skill_026ad895-b0a3-4ba7-b064-3b4adf1acd8a | profile_usage=0 | offer_usage=0
[623] Skill_038380ff-1743-4108-a4a4-86ecaac29625 | profile_usage=0 | offer_usage=0
[169] Skill_03fcc68a-93b7-47d3-97e5-119c631a3a1d | profile_usage=0 | offer_usage=0
[208] Skill_053835be-c60c-48cf-befb-b9b149dbe20f | profile_usage=0 | offer_usage=0
[470] Skill_053c42f7-efb4-4f4e-8783-e41d849db339 | profile_usage=0 | offer_usage=0
[81] Skill_05ca3232-1691-4b15-aa6c-80235cf0427d | profile_usage=0 | offer_usage=0
[711] Skill_05d2eaf0-aec6-44ce-9c6a-69853b857254 | profile_usage=0 | offer_usage=0
[537] Skill_06736fdf-85f6-4c0c-903e-90519c4219e2 | profile_usage=0 | offer_usage=0
[871] Skill_07230a77-f165-4a25-ad0c-da39e1dd0264 | profile_usage=0 | offer_usage=0
[811] Skill_089cde51-fb7c-45c3-9971-c35250c44e22 | profile_usage=0 | offer_usage=0
[533] Skill_08f6afa6-205d-479a-a8a5-6fc5ef807dba | profile_usage=0 | offer_usage=0
[56] Skill_09f4df3b-0ed3-4bec-bb04-3d76fe6d6ce9 | profile_usage=0 | offer_usage=0
[592] Skill_0a4fad2a-bce7-4bb6-9dac-2926d9cc234c | profile_usage=0 | offer_usage=0
[654] Skill_0adecafa-fd80-4b72-8a74-9c9715399b61 | profile_usage=0 | offer_usage=0
[888] Skill_0b6cac68-9043-482e-9bff-98009169e5f5 | profile_usage=0 | offer_usage=0
[718] Skill_0bec80aa-7059-471e-ba18-97234f7f8b05 | profile_usage=0 | offer_usage=0
[498] Skill_0bf8395d-1c66-41ff-83e1-dac1a3d82977 | profile_usage=0 | offer_usage=0
[480] Skill_0c856c30-0dc2-4531-b274-87383251a9af | profile_usage=0 | offer_usage=0
[848] Skill_0d7d1f4a-2d61-4b93-b083-4cee8088b4eb | profile_usage=0 | offer_usage=0
[833] Skill_0dd12c17-3835-4913-b668-d50e8bca6735 | profile_usage=0 | offer_usage=0
[785] Skill_0df9ca61-2f19-46ee-819f-56331e845493 | profile_usage=0 | offer_usage=0
[47] Skill_0e3294ef-6c0c-4712-a292-bad136c4906f | profile_usage=0 | offer_usage=0
[520] Skill_0e567964-7c97-46f4-a93c-48310bd2f2c6 | profile_usage=0 | offer_usage=0
[55] Skill_0e8e6d39-ac57-4c6b-8fd3-1ec7c2f8e3fa | profile_usage=0 | offer_usage=0
[658] Skill_0eb26b39-cb41-408a-ac8a-4201bf36174f | profile_usage=0 | offer_usage=0
[834] Skill_0f165f2d-3f0f-4c3d-b86f-b5ef0f012f10 | profile_usage=0 | offer_usage=0
[217] Skill_1039eea7-4710-4599-8dc3-011d0d79c1c7 | profile_usage=0 | offer_usage=0
[602] Skill_109ec119-16b7-40a6-99e3-938c7c2b2a8d | profile_usage=0 | offer_usage=0
[162] Skill_10a26255-523e-438b-b3d2-52eacc93a951 | profile_usage=0 | offer_usage=0
[188] Skill_10c63a15-1a2e-40ec-a627-968f31e00013 | profile_usage=0 | offer_usage=0
[870] Skill_11ce47a8-624d-4ed5-a2a4-6b5d233899e4 | profile_usage=0 | offer_usage=0
[128] Skill_12220f2f-0ecf-456c-9e15-c7daa07f4468 | profile_usage=0 | offer_usage=0
[555] Skill_13e685ae-6352-4c0c-9005-86c7e5f01cf9 | profile_usage=0 | offer_usage=0
[645] Skill_14859def-fad1-43ae-b75f-6cf97ac398c8 | profile_usage=0 | offer_usage=0
[549] Skill_1552178a-457a-470e-9a04-c51ad808d9e6 | profile_usage=0 | offer_usage=0
[657] Skill_15b9bb45-23b1-461a-87f6-4ea04040b0f0 | profile_usage=0 | offer_usage=0
[916] Skill_15c73b74-ffb3-4c30-9629-0f53dd08d0a6 | profile_usage=0 | offer_usage=0
[588] Skill_181a67c2-2ac0-4a62-8461-5291569ee6c5 | profile_usage=0 | offer_usage=0
[909] Skill_18fc5dbd-f392-465b-a39c-b065b21c8a15 | profile_usage=0 | offer_usage=0
[666] Skill_1a4a71d7-0bee-49b9-9980-13ddb7cb0bb2 | profile_usage=0 | offer_usage=0
[540] Skill_1aaf3776-41dc-4a7d-b8c1-08c0426f7bee | profile_usage=0 | offer_usage=0
[754] Skill_1b0d0d7a-9a03-4234-ae1a-ff41e92c699c | profile_usage=0 | offer_usage=0
[32] Skill_1c69f70e-b724-4dc2-a2db-8ea20ec72e5a | profile_usage=0 | offer_usage=0
[473] Skill_1cd43197-6593-47c4-bd61-769245b11889 | profile_usage=0 | offer_usage=0
[82] Skill_1d3ce21b-a377-4696-b5c9-cdaeaed2d164 | profile_usage=0 | offer_usage=0
[484] Skill_1d5cc1b4-ccfe-4eee-86d3-bd0c6ab7bb1f | profile_usage=0 | offer_usage=0
[471] Skill_1e3d6a6b-33b7-4600-a89f-48c1ea210828 | profile_usage=0 | offer_usage=0
[828] Skill_1e6d624c-d89e-4203-9511-a1283008dee9 | profile_usage=0 | offer_usage=0
[770] Skill_1edd1421-18bb-4abb-ac58-bfb0c461658d | profile_usage=0 | offer_usage=0
[202] Skill_1fb589b3-7207-48ff-8cc1-51bf942112be | profile_usage=0 | offer_usage=0
[83] Skill_1fdc2310-c9c7-45e0-8040-2a249adce6ac | profile_usage=0 | offer_usage=0
[557] Skill_1ff2c352-db09-4e87-8e55-310ce40aa74a | profile_usage=0 | offer_usage=0
[65] Skill_2136b2d8-76b8-49bb-97ae-0acb6de71922 | profile_usage=0 | offer_usage=0
[624] Skill_21d099da-9d0e-43ef-b6d0-cc9b124afee2 | profile_usage=0 | offer_usage=0
[757] Skill_2234e4b1-0f30-48bc-aa4c-27cca3433104 | profile_usage=0 | offer_usage=0
[219] Skill_22cc2c90-ad1f-44fe-9873-bf2c4b7856ea | profile_usage=0 | offer_usage=0
[777] Skill_24695c89-87b5-4e06-89b3-22e345e55171 | profile_usage=0 | offer_usage=0
[186] Skill_24f8fc2f-3fcb-4bef-993d-8042332f3207 | profile_usage=0 | offer_usage=0
[110] Skill_259cdcfe-4e11-4ded-a95e-70d67e9a702a | profile_usage=0 | offer_usage=0
[490] Skill_25c8f28c-65b8-4ba3-b0aa-f53fb263034b | profile_usage=0 | offer_usage=0
[183] Skill_2605a6cd-ffad-42d2-9d20-0d55b8abfd3d | profile_usage=0 | offer_usage=0
[66] Skill_27125450-e28b-4400-a1bb-dbfbc8050cdb | profile_usage=0 | offer_usage=0
[744] Skill_27196663-b46c-4d23-880d-5ea898670e2e | profile_usage=0 | offer_usage=0
[93] Skill_28d32655-aee9-4f42-a09e-6a3adbda2a5f | profile_usage=0 | offer_usage=0
[605] Skill_29ac9085-4094-4cef-8172-cfaad2ff631c | profile_usage=0 | offer_usage=0
[172] Skill_29acb9ee-9fca-4a29-80a0-56189a5a990e | profile_usage=0 | offer_usage=0
[48] Skill_2b59fd1f-b989-4608-a47e-5b1b96316bda | profile_usage=0 | offer_usage=0
[196] Skill_2b6497c6-9888-4269-a516-0706dc981899 | profile_usage=0 | offer_usage=0
[704] Skill_2b7d48a2-8a7b-46cb-87f9-6d91318722c2 | profile_usage=0 | offer_usage=0
[491] Skill_2cb44ba2-75c0-4ebf-bcbf-fcc6f8a91a99 | profile_usage=0 | offer_usage=0
[751] Skill_2cd6c1d1-aa9f-459f-92ce-418a936c3604 | profile_usage=0 | offer_usage=0
[538] Skill_2df90542-9323-4a48-b90f-abeb58ecf047 | profile_usage=0 | offer_usage=0
[725] Skill_2ea70a7d-0430-447f-9618-a045776ba3a1 | profile_usage=0 | offer_usage=0
[622] Skill_2ebcd3db-8f29-4844-a399-31f7767d9feb | profile_usage=0 | offer_usage=0
[566] Skill_2f152f4c-daee-4783-aa1d-20143c99c856 | profile_usage=0 | offer_usage=0
[109] Skill_2fe4610d-9a19-4824-8ade-7ac25c46686b | profile_usage=0 | offer_usage=0
[228] Skill_31c6f998-386e-47be-819c-8b579f723855 | profile_usage=0 | offer_usage=0
[628] Skill_320567e8-2a7d-46fc-aca4-c68dce8cc51e | profile_usage=0 | offer_usage=0
[74] Skill_33d50382-40ec-4668-8bd7-673dca937124 | profile_usage=0 | offer_usage=0
[517] Skill_346546ef-6e3b-4143-bb7d-cd14431f7765 | profile_usage=0 | offer_usage=0
[204] Skill_34ac668d-3158-4198-afce-f6bbdc2fa7f0 | profile_usage=0 | offer_usage=0
[710] Skill_34e924e7-d8d2-41f6-bb93-b4777c05d46d | profile_usage=0 | offer_usage=0
[793] Skill_359c7a22-6526-485a-98f1-132fdda05406 | profile_usage=0 | offer_usage=0
[706] Skill_35a8c3fb-c1f7-4403-b539-d68680fcf94c | profile_usage=0 | offer_usage=0
[655] Skill_3638eab1-ad93-4031-a5f6-3e83c8d6f38f | profile_usage=0 | offer_usage=0
[574] Skill_36780794-8758-4a45-a07a-5ff4aa9af175 | profile_usage=0 | offer_usage=0
[46] Skill_37239f93-d79c-4599-be1c-ab9739d25954 | profile_usage=0 | offer_usage=0
[776] Skill_377cafd5-26d4-4636-8cbd-7a857d8241ef | profile_usage=0 | offer_usage=0
[632] Skill_38acd47a-9624-4d8d-9a25-14da08a76a19 | profile_usage=0 | offer_usage=0
[604] Skill_39bdd468-ae89-4a2a-9f2c-c23e7d42d516 | profile_usage=0 | offer_usage=0
[640] Skill_3a2a7d13-a906-4187-b65d-d2a720854b66 | profile_usage=0 | offer_usage=0
[861] Skill_3a3c2f07-21c5-4545-9ba0-7709aefedfef | profile_usage=0 | offer_usage=0
[64] Skill_3a3d2d81-e5b5-4afc-8434-a33d2e33a3ab | profile_usage=0 | offer_usage=0
[206] Skill_3a964220-706c-4973-8116-bb08d918c855 | profile_usage=0 | offer_usage=0
[860] Skill_3aa2024b-0735-4837-9e52-9f8ff101c9f4 | profile_usage=0 | offer_usage=0
[505] Skill_3ac5f280-d1d7-4370-980d-b612a3e1df4b | profile_usage=0 | offer_usage=0
[569] Skill_3ada36a3-9a51-4593-88b3-2ef346387b80 | profile_usage=0 | offer_usage=0
[787] Skill_3adede8d-2689-44ce-a717-cda3ff0f28a6 | profile_usage=0 | offer_usage=0
[915] Skill_3b52c97a-795a-4a56-a98b-3966ab1bc2b6 | profile_usage=0 | offer_usage=0
[481] Skill_3b80b2ba-b0d6-4c42-9505-288f3d2ea932 | profile_usage=0 | offer_usage=0
[806] Skill_3bb471dc-c33d-488e-bc06-c7b610b90135 | profile_usage=0 | offer_usage=0
[849] Skill_3c3ccff5-5535-41a2-be13-fff6051976bf | profile_usage=0 | offer_usage=0
[575] Skill_3cb7dd0e-2450-4b05-87de-4f4ccbe5d80c | profile_usage=0 | offer_usage=0
[214] Skill_3cf4e719-e016-497b-a39e-bc5433851c03 | profile_usage=0 | offer_usage=0
[790] Skill_3d407b41-89d3-4921-b8f4-bf288ed04a3b | profile_usage=0 | offer_usage=0
[850] Skill_3e416382-baad-463a-a485-bec1aaaa8c03 | profile_usage=0 | offer_usage=0
[152] Skill_3e50c94d-f027-4fc4-89b6-8c73639beb27 | profile_usage=0 | offer_usage=0
[913] Skill_3ead02e1-93fa-41f0-802b-0a16e1730499 | profile_usage=0 | offer_usage=0
[91] Skill_3f097e01-9a35-4694-a425-daa0738e9e71 | profile_usage=0 | offer_usage=0
[609] Skill_3f5837b7-8cea-4c8f-8496-91370c8abdff | profile_usage=0 | offer_usage=0
[771] Skill_3f7c2868-d9e8-45c7-b4d0-cd51af059e08 | profile_usage=0 | offer_usage=0
[189] Skill_3f8ae8b3-70e7-4cf6-bd80-387f40f2b187 | profile_usage=0 | offer_usage=0
[791] Skill_40030c92-ba2d-407b-b7a9-9d7b812c2c32 | profile_usage=0 | offer_usage=0
[656] Skill_40c71439-467e-473b-b1db-321fc1ccbaa7 | profile_usage=0 | offer_usage=0
[775] Skill_41b25950-0725-4744-9cca-095c67c2bc36 | profile_usage=0 | offer_usage=0
[813] Skill_42962785-417b-4535-9abf-2d1b90de793e | profile_usage=0 | offer_usage=0
[854] Skill_433103aa-7775-4d8e-b0b1-74e6615858d2 | profile_usage=0 | offer_usage=0
